"firstName","familyName","fullName","start","einde","title","rangorde","mandataris","persoon"
,"Galle","Galle",1981-12-22,1985-12-10,"GM Ondergeschikte Besturen & Gesubsidieerde Werken",,"http://kanselarij.vo.data.gift/id/mandatarissen/821d2900-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82186b36-dec2-11e9-aa72-0242c0a80002"
,"Toussaint","Toussaint",1981-12-22,1985-12-10,"Président-conseil de la comm. francaise",,"http://kanselarij.vo.data.gift/id/mandatarissen/821b8c3a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821b8956-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2007-06-28,2009-07-13,"VM van Institutionele Hervormingen, Havens, Landbouw, Zeevisserij en Plattelandsbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e05fde-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Marino","Keulen","Marino Keulen",2007-06-28,2009-07-13,"VM van Bestuurszaken, Buitenlands Beleid, Media en Toerisme",,"http://kanselarij.vo.data.gift/id/mandatarissen/81df2eb6-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddb450-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2004-07-20,2007-06-27,"Minister-president van de Vlaamse regering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e5b240-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Jo","Vandeurzen","Jo Vandeurzen",2009-07-13,2014-07-25,"VM  van Leefmilieu, Natuur en Cultuur",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd04e2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819ebc82-dec2-11e9-aa72-0242c0a80002"
"- Wivina","Demeester De Meyer","- Wivina Demeester De Meyer",1995-06-20,1999-07-13,"VM van Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/8202c506-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbf2d0-dec2-11e9-aa72-0242c0a80002"
"- Wivina","Demeester De Meyer","- Wivina Demeester De Meyer",1992-10-20,1995-06-20,"GM van Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ecd1a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbf2d0-dec2-11e9-aa72-0242c0a80002"
"Joke","Schauvliege","Joke Schauvliege",2009-07-13,2014-07-25,"VM van Leefmilieu, Natuur en Cultuur",,"http://kanselarij.vo.data.gift/id/mandatarissen/81c3aa24-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81a32e66-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2009-07-13,2014-07-25,"VM van Economie",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd580c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Ludo","Sannen","Ludo Sannen",1999-07-13,2003-06-05,"VM van Leefmilieu, Landbouw en Ontwikkelingssamenwerking",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f12ae4-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ee9342-dec2-11e9-aa72-0242c0a80002"
"Geert","Bourgeois","Geert Bourgeois",2007-06-28,2009-07-13,"VM van Institutionele Hervormingen, Havens, Landbouw, Zeevisserij en Plattelandsbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e0b75e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819f36e4-dec2-11e9-aa72-0242c0a80002"
"Marino","Keulen","Marino Keulen",2003-06-10,2004-07-20,"VM van Wonen, Media en Sport",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ecccd8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddb450-dec2-11e9-aa72-0242c0a80002"
"Hilde","Crevits","Hilde Crevits",2007-06-28,2009-07-13,"VM van Mobiliteit, Sociale Economie en Gelijke Kansen",,"http://kanselarij.vo.data.gift/id/mandatarissen/81de9726-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819eb368-dec2-11e9-aa72-0242c0a80002"
"Leona","Detiège","Leona Detiège",1992-02-05,1992-10-20,"GM van Sociale Zaken",,"http://kanselarij.vo.data.gift/id/mandatarissen/820cfd32-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8203a46c-dec2-11e9-aa72-0242c0a80002"
"Joke","Schauvliege","Joke Schauvliege",2014-05-25,2019-07-02,"VM van Omgeving, Natuur en landbouw",,"http://kanselarij.vo.data.gift/id/mandatarissen/81a32fe2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81a32e66-dec2-11e9-aa72-0242c0a80002"
"Joke","Schauvliege","Joke Schauvliege",2009-07-13,2014-07-25,"VM  van Leefmilieu",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd61c6-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81a32e66-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2009-07-13,2014-07-25,"VM van Institutionele Hervormingen, Landbouw, Zeevisserij en Plattelandsbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd132e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Ingrid","Lieten","Ingrid Lieten",2009-07-13,2014-07-25,"Viceminister-president van de Vlaamse Regering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ddac8a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c3a510-dec2-11e9-aa72-0242c0a80002"
"Steven","Vanackere","Steven Vanackere",2007-06-28,2009-07-13,"VM van Openbare Werken, Energie, Leefmilieu en Natuur",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e02e10-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81dea82e-dec2-11e9-aa72-0242c0a80002"
"Geert","Bourgeois","Geert Bourgeois",2004-07-20,2007-06-27,"VM van Bestuurszaken, Buitenlands Beleid, Media en Toerisme",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e4c178-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819f36e4-dec2-11e9-aa72-0242c0a80002"
"Patricia","Ceysens","Patricia Ceysens",2007-06-28,2009-07-13,"VM van Economie, Ondernemen, Wetenschap, Innovatie en Buitenlandse Handel",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ddc652-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81dd2666-dec2-11e9-aa72-0242c0a80002"
"Pascal","Smet","Pascal Smet",2009-07-13,2014-07-25,"VM van Onderwijs, Jeugd, Gelijke Kansen en Brussel",,"http://kanselarij.vo.data.gift/id/mandatarissen/81c3bbcc-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c3bb2c-dec2-11e9-aa72-0242c0a80002"
"Hugo","Weckx","Hugo Weckx",1988-10-18,1992-01-21,"GM van Volksgezondheid en Brusselse Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/820f152c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82033fb8-dec2-11e9-aa72-0242c0a80002"
"Ludo","Sannen","Ludo Sannen",2003-06-10,2004-07-20,"VM van Leefmilieu, Landbouw en Ontwikkelingssamenwerking",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ee945a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ee9342-dec2-11e9-aa72-0242c0a80002"
"Norbert","De Batselier","Norbert De Batselier",1995-06-20,1999-07-13,"VM van Leefmilieu en Huisvesting",,"http://kanselarij.vo.data.gift/id/mandatarissen/8202a7ce-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8202a62a-dec2-11e9-aa72-0242c0a80002"
"Ben","Weyts","Ben Weyts",2014-05-25,2019-07-02,"VM van Mobiliteit, Openbare Werken, Vlaamse Rand, Toerisme en Dierenwelzijn",,"http://kanselarij.vo.data.gift/id/mandatarissen/819f7da2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819efa76-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2007-06-28,2009-07-13,"Minister-president van de Vlaamse Regering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ddb72a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Jo","Vandeurzen","Jo Vandeurzen",2009-07-13,2014-07-25,"VM van Welzijn",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd5d2a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819ebc82-dec2-11e9-aa72-0242c0a80002"
