,Reg of man,Verkiezing,RegeerperiodeVan,RegeerperiodeTot,Referentie bevoegdheidsbesluit in Codex / URL uitslag,Referentie in K,,Naam regering,Naam,Toelichting,SamenstellingVan,SamenstellingTot,VoornaamMandaathouder,AchternaamMandaathouder,Partij,MP/Vice,rang,Titel,Redactioneel kader
416,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Roger,De,SP,,5,Gemeenschapsminister  van Tewerkstelling,
417,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Theo,Kelchtermans,CVP,,6,"Gemeenschapsminister  van Leefmilieu, Natuurbehoud en Landinrichting",
418,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Patrick,Dewael,PVV,,7,Gemeenschapsminister  van Cultuur,
419,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Hugo,Weckx,CVP,,8,Gemeenschapsminister  van Volksgezondheid en Brusselse Aangelegenheden,
420,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Daniël,Coens,CVP,,9,Gemeenschapsminister  van Onderwijs,
421,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Luc,Van,SP,,10,Gemeenschapsminister  van Binnenlandse Aangelegenheden en Openbaar Ambt,
422,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Johan,Sauwens,VU,,11,Gemeenschapsminister van Openbare Werken en Verkeer,
410,periode,11/24/1991,1992,1995,,,,Geens IV,Geens IV,,,,,,,,,,"Na de parlementsverkiezingen eind 1991 bood de regering Geens IV op 7 januari 1992 haar ontslag aan. De eerste regering onder leiding van de christen-democraat Luc Van den Brande legde op 21 januari 1992 de eed af. Ook die regering moest volgens de wet proportioneel worden samengesteld, maar aanvankelijk bestond de regering alleen uit CVP- en SP-ministers.
De PVV, het Vlaams Blok en aanvankelijk ook de VU weigerden in de regering te stappen. Na enkele weken nam de VU toch een ministerportefeuille aan (in de persoon van Johan Sauwens). Op 5 februari 1992 kreeg die verruimde regering het vertrouwen en werd zo de regering Van den Brande II.
Op 20 oktober 1992 diende Luc Van den Brande het ontslag van zijn regering in, omdat de termijn van de proportioneel samengestelde regeringen afliep. Nog diezelfde dag werden de ministers echter herbenoemd, op basis van het meerderheidsstelsel. Daardoor ging de regering Van den Brande II over in de regering Van den Brande III.
Op 1 januari 1995 werd Leona Detiège burgemeester van Antwerpen. Zij werd op 12 januari 1995 als minister vervangen door Leo Peeters, die haar bevoegdheden overnam."
399,regering,,1992,1995,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1002288&param=informatie,BVR 7/1/1992,https://kaleidos.vlaanderen.be/vergadering/58bd67ba-dec1-11e9-aa72-0242c0a80002/agenda/58bd6756-dec1-11e9-aa72-0242c0a80002/agendapunten/58bd7192-dec1-11e9-aa72-0242c0a80002/beslissingen,Geens IV.3,Geens IV,Louis Waltniel ontslagnemend vanaf 08.01.1992,1/8/1992,1/21/1992,,,,,,,
400,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Financiën en Begroting,
401,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Norbert,De Batselier,SP,Vice-Voorzitter van de Vlaamse Executieve,2,"Gemeenschapsminister  van Economie, Middenklasse en Energie",
402,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Jan,Lenssens,CVP,,3,Gemeenschapsminister  van Welzijn en Gezin,
403,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Roger,De Wulf,SP,,4,Gemeenschapsminister  van Tewerkstelling,
404,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Theo,Kelchtermans,CVP,,5,"Gemeenschapsminister  van Leefmilieu, Natuurbehoud en Plattelandsvernieuwing",
405,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Patrick,Dewael,PVV,,6,Gemeenschapsminister  van Cultuur,
406,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Hugo,Weckx,CVP,,7,Gemeenschapsminister  van Volksgezondheid en Brusselse Aangelegenheden,
407,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Daniël,Coens,CVP,,8,Gemeenschapsminister  van Onderwijs,
408,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Luc,Van den Bossche,SP,,9,Gemeenschapsminister  van Binnenlandse Aangelegenheden en Openbaar Ambt,
409,mandaat,,1992,1995,,,,Geens IV.3,Geens IV,,,,Johan,Sauwens,VU,,10,Gemeenschapsminister  van Minister van Openbare Werken en Communicatie,
391,regering,,1992,1995,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1002244&param=informatie , BVR 22/1/1992,https://kaleidos.vlaanderen.be/vergadering/58bdb288-dec1-11e9-aa72-0242c0a80002/agenda/58bdb21a-dec1-11e9-aa72-0242c0a80002/agendapunten/58bdc2e6-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande I.1,Van den Brande I,"Verkiezingen Federaal Parlement op 24 november 1991
Proportionele samenstelling tot 20 oktober 1992 – meerderheidsregering vanaf 20 oktober 1992",1/22/1992,1/29/1992,,,,,,,"
"
392,mandaat,,1992,1995,,,,Van den Brande I.1,Van den Brande I,,,,Luc,Van den Brande,CVP,Voorzitter van de Vlaamse Executieve,1,"Gemeenschapsminister van Economie, KMO-beleid en Energie",
393,mandaat,,1992,1995,,,,Van den Brande I.1,Van den Brande I,,,,Norbert,De Batselier,SP,Vice-Voorzitter van de Vlaamse Executieve,2,"Gemeenschapsminister van Leefmilieu, Huisvesting en Wetenschapsbeleid",
394,mandaat,,1992,1995,,,,Van den Brande I.1,Van den Brande I,,,,Theo,Kelchtermans,CVP,,3,"Gemeenschapsminister van Openbare Werken, Vervoer en Ruimtelijke Ordening",
